freq,texto,texto2,grupo
1,Hás,hás,NP00V00
1,Hércules,hércules,NP00SP0
1,IV,iv,NP00SP0
1,Ides,ides,NP00V00
1,Ignorava,ignorava,NP00V00
1,Igreja,igreja,NP00G00
1,Iho,iho,NP00SP0
1,Importa,importa,NP00V00
1,Infame,infame,NP00V00
1,Irei,irei,NP00V00
1,Iremos,iremos,NP00V00
1,Irá,irá,NP00SP0
1,Jarras,jarras,NP00V00
1,Jau,jau,NP00V00
1,Jesus_Cristo,jesus_cristo,NP00SP0
1,Joaquim,joaquim,NP00SP0
1,Josefa_Maria,josefa_maria,NP00SP0
1,José_Correia_Botelho_de_Mesquita,josé_correia_botelho_de_mesquita,NP00SP0
1,Juiz,juiz,NP00SP0
1,Juiz_Supremo,juiz_supremo,NP00SP0
1,Junqueira,junqueira,NP00G00
1,Juro,juro,NP00V00
1,Júpiter,júpiter,NP00SP0
1,Lafões,lafões,NP00V00
1,Leva,leva,NP00V00
1,Levanta,levanta,NP00V00
1,Lucro,lucro,NP00V00
1,Luiz,luiz,NP00SP0
1,Luís_Botelho,luís_botelho,NP00SP0
1,Luís_Pinto_de_Sousa,luís_pinto_de_sousa,NP00SP0
1,Luís_de_Camões,luís_de_camões,NP00SP0
1,Madrid,madrid,NP00G00
1,Mafra,mafra,NP00G00
1,Maior,maior,NP00SP0
1,Manda,manda,NP00SP0
1,Mande,mande,NP00V00
1,Mandou,mandou,NP00V00
1,Manoel_Botelho,manoel_botelho,NP00SP0
1,Maria,maria,NP00SP0
1,Maria_I,maria_i,NP00SP0
1,Maria_Santíssima,maria_santíssima,NP00SP0
1,Marialva,marialva,NP00G00
1,Mataram,mataram,NP00G00
1,Matasse,matasse,NP00V00
1,Mau,mau,NP00SP0
1,Memórias_Duma_Família,memórias_duma_família,NP00V00
1,Mendes,mendes,NP00G00
1,Meneses,meneses,NP00SP0
1,Menezes,menezes,NP00SP0
1,Menina,menina,NP00V00
1,Mesquita,mesquita,NP00G00
1,Minho_Manuel_Botelho,minho_manuel_botelho,NP00V00
1,Mirabeau,mirabeau,NP00V00
1,Miramolim_de_Marrocas,miramolim_de_marrocas,NP00V00
1,Miseráveis,miseráveis,NP00V00
1,Montezelos,montezelos,NP00SP0
1,Morrerei,morrerei,NP00V00
1,Morrerás,morrerás,NP00V00
1,Muit9,muit9,NP00V00
1,Mãe_de_Deus,mãe_de_deus,NP00SP0
1,Napoleão,napoleão,NP00SP0
1,Nini,nini,NP00V00
1,O_Anjo,o_anjo,NP00SP0
1,O_João,o_joão,NP00SP0
1,Oeiras,oeiras,NP00G00
1,Oiro,oiro,NP00V00
1,Oliveira,oliveira,NP00G00
1,Olivença,olivença,NP00G00
1,Ouviu,ouviu,NP00V00
1,Ouça,ouça,NP00V00
1,Padre-nosso,padre-nosso,NP00V00
1,Parece,parece,NP00G00
1,Pareceram,pareceram,NP00V00
1,Parei,parei,NP00V00
1,Parte,parte,NP00V00
1,Passe,passe,NP00V00
1,Paulo_Botelho_Correia,paulo_botelho_correia,NP00SP0
1,Paço,paço,NP00G00
1,Pede,pede,NP00V00
1,Pedro_III,pedro_iii,NP00SP0
1,Pense,pense,NP00V00
1,Perdição,perdição,NP00V00
1,Perguntei,perguntei,NP00V00
1,Permita_Deus,permita_deus,NP00V00
1,Perseguida,perseguida,NP00V00
