autor,titulo,ano,gutemberg,tipo,divisao,numeracao,notas,dedicado
Camilo Castelo Branco,A espada de Alexandre,1872,32003,Romance,Prosa,N/A,N/A,N/A
Camilo Castelo Branco,A senhora Rattazzi,1880,19375,Romance,Prosa,N/A,N/A,N/A
